CODCLIFOR;TIPOCF;CODREPRES;NOMEFAN;CIDADE;UF;CODMUNICIPIO;TIPOPESSOA;COBRBANC;PRAZOPGTO
395;2;0;Fornecedor 395;ITAPECERICA DA SERRA;SP;3522208;2;0;0
396;2;0;Fornecedor 396;SAIO JOSE RIO PRETO;SP;;2;0;0
397;2;0;Fornecedor 397;SAO PAULO;SP;3550308;2;0;0
398;2;0;Fornecedor 398;OLIVEIRA;MG;3145604;2;0;0
399;2;0;Fornecedor 399;GARULHOS;SP;;2;0;0
400;2;0;Fornecedor 400;POUSO ALEGRE;MG;;2;0;0
401;2;0;Fornecedor 401;POUSO ALTO;MG;3152600;2;0;0
402;2;0;Fornecedor 402;SAO ROQUE;SP;;2;0;0
403;2;0;Fornecedor 403;SAO PAULO;SP;3550308;2;0;0
404;2;0;Fornecedor 404;REGISTRO;SP;;2;0;0
405;2;0;Fornecedor 405;SAO PAULO;SP;3550308;2;0;0
406;2;0;Fornecedor 406;SAO FRANCISCO XAVIER;SP;;2;0;0
408;2;0;Fornecedor 408;SAO PAULO;SP;3550308;2;0;0
409;2;0;Fornecedor 409;SAO PAULO;SP;3550308;2;0;0
410;2;0;Fornecedor 410;SAO PAULO;SP;;2;0;0
411;2;0;Fornecedor 411;SAO PAULO;SP;;2;0;0
412;2;0;Fornecedor 412;SAO PAULO;SP;3550308;2;0;0
413;2;0;Fornecedor 413;SAO PAULO;SP;3550308;2;0;0
414;2;0;Fornecedor 414;SAO PAULO;SP;;2;0;0
415;2;0;Fornecedor 415;SAO PAULO;SP;3550308;2;0;0
416;2;0;Fornecedor 416;LOUVEIRA;SP;;2;0;0
417;2;0;Fornecedor 417;COTIA;SP;;2;0;0
418;2;0;Fornecedor 418;;;;2;0;0
419;2;0;Fornecedor 419;ITUPEVA;SP;3524006;2;0;0
420;2;0;Fornecedor 420;SAO PAULO;SP;3550308;2;0;0
421;2;0;Fornecedor 421;BELMONTE;BA;2903409;2;0;0
422;2;0;Fornecedor 422;ITAQUAQUECETUBA;SP;352357;2;0;0
423;2;0;Fornecedor 423;GUARULHOS;SP;3518800;2;0;0
424;2;0;Fornecedor 424;SANTO ANTONIO DA PATRULHA;RS;;2;0;0
425;2;0;Fornecedor 425;SAO PAULO;SP;3550308;2;0;0
426;2;0;Fornecedor 426;SÃO PAULO;SP;3550308;2;0;0
427;2;0;Fornecedor 427;SAO PAULO;SP;3550308;2;0;0
428;2;0;Fornecedor 428;SAO PAULO;SP;3550308;2;0;0
429;2;0;Fornecedor 429;SAO PAULO;SP;3550308;2;0;0
430;2;0;Fornecedor 430;CRUZEIRO;SP;3513405;2;0;0
431;2;0;Fornecedor 431;SAO PAULO;SP;3550308;2;0;0
432;2;0;Fornecedor 432;SAO PAULO;SP;3550308;2;0;0
433;2;0;Fornecedor 433;SAO PAULO;SP;3550308;2;0;0
434;2;0;Fornecedor 434;GUARACIABA;SC;4206405;2;0;0
435;2;0;Fornecedor 435;CARIACICA;ES;3201308;2;0;0
1.005;1;32;Cliente 1005;SÃO PAULO;SP;3550308;2;-1;28
1.006;1;9;Cliente 1006;SÃO PAULO;SP;3550308;2;-1;14
1.007;1;9;Cliente 1007;SÃO PAULO;SP;3550308;2;0;0
1.016;1;6;Cliente 1016;SÃO PAULO;SP;3550308;2;-1;14
1.017;1;9;Cliente 1017;SÃO PAULO;SP;3550308;2;-1;14
1.021;1;27;Cliente 1021;SÃO PAULO;SP;3550308;2;-1;14
1.022;1;9;Cliente 1022;SÃO PAULO;SP;3550308;2;0;7
1.023;1;9;Cliente 1023;SÃO PAULO;SP;3550308;2;-1;14
1.024;1;9;Cliente 1024;SÃO PAULO;SP;3550308;2;-1;21
1.026;1;9;Cliente 1026;SÃO PAULO;SP;3550308;2;-1;28
1.027;1;9;Cliente 1027;SÃO PAULO;SP;3550308;2;-1;14
1.028;1;27;Cliente 1028;SÃO PAULO;SP;3550308;2;-1;7
1.029;1;6;Cliente 1029;SÃO PAULO;SP;3550308;2;0;0
1.031;1;9;Cliente 1031;SÃO PAULO;SP;3550308;2;-1;14
1.034;1;9;Cliente 1034;SÃO PAULO;SP;3550308;2;0;14
1.035;1;27;Cliente 1035;SÃO PAULO;SP;3550308;2;-1;7
1.036;1;9;Cliente 1036;SÃO PAULO;SP;3550308;2;-1;14
1.039;1;9;Cliente 1039;SÃO PAULO;SP;3550308;2;-1;14
1.041;1;9;Cliente 1041;SÃO PAULO;SP;3550308;2;-1;14
1.042;1;9;Cliente 1042;SÃO PAULO;SP;3550308;2;0;14
1.043;1;9;Cliente 1043;SÃO PAULO;SP;3550308;2;-1;14
1.044;1;9;Cliente 1044;SÃO PAULO;SP;3550308;2;-1;14
1.049;1;9;Cliente 1049;SÃO PAULO;SP;3550308;2;0;0
1.051;1;9;Cliente 1051;SAO PAULO;SP;3550308;2;-1;19
1.053;1;9;Cliente 1053;SÃO PAULO;SP;3550308;2;0;0
1.055;1;11;Cliente 1055;SÃO PAULO;SP;3550308;2;-1;14
1.057;1;28;Cliente 1057;SÃO PAULO;SP;3550308;2;-1;14
1.059;1;9;Cliente 1059;SÃO PAULO;SP;3550308;2;-1;14
1.060;1;9;Cliente 1060;SÃO PAULO;SP;3550308;2;-1;28
1.061;1;32;Cliente 1061;SÃO PAULO;SP;3550308;2;-1;14
1.063;1;9;Cliente 1063;SÃO PAULO;SP;3550308;2;0;7
1.064;1;28;Cliente 1064;SÃO PAULO;SP;3550308;2;-1;7
1.065;1;11;Cliente 1065;SÃO PAULO;SP;3550308;2;-1;7
1.066;1;27;Cliente 1066;SÃO PAULO;SP;3550308;2;-1;14
1.068;1;28;Cliente 1068;SÃO PAULO;SP;3550308;2;-1;21
1.069;1;27;Cliente 1069;SÃO PAULO;SP;3550308;2;-1;14
1.070;1;9;Cliente 1070;SÃO PAULO;SP;3550308;2;-1;14
1.071;1;9;Cliente 1071;CAMPINAS;SP;3509502;2;-1;6
1.072;1;9;Cliente 1072;SÃO PAULO;SP;3550308;2;-1;21
1.073;1;9;Cliente 1073;SÃO PAULO;SP;3550308;2;0;14
1.074;1;30;Cliente 1074;SÃO PAULO;SP;3550308;2;-1;14
1.075;1;9;Cliente 1075;SÃO PAULO;SP;3550308;2;-1;28
1.076;1;9;Cliente 1076;SÃO PAULO;SP;3550308;2;0;14
1.077;1;9;Cliente 1077;SÃO PAULO;SP;3550308;2;-1;14
1.079;1;9;Cliente 1079;SÃO PAULO;SP;3550308;2;-1;14
1.080;1;9;Cliente 1080;SÃO PAULO;SP;3550308;2;0;0
1.081;1;11;Cliente 1081;SÃO PAULO;SP;3550308;2;-1;14
1.082;1;9;Cliente 1082;SÃO PAULO;SP;3550308;2;-1;14
1.083;1;9;Cliente 1083;SÃO PAULO;SP;3550308;2;-1;14
1.085;1;9;Cliente 1085;SÃO PAULO;SP;3550308;2;-1;7
1.086;1;9;Cliente 1086;SÃO PAULO;SP;3550308;2;-1;14
1.088;1;11;Cliente 1088;SÃO PAULO;SP;3550308;2;0;0
1.089;1;9;Cliente 1089;SÃO PAULO;SP;3550308;2;-1;14
1.090;1;9;Cliente 1090;SÃO PAULO;SP;3550308;2;-1;14
1.091;1;9;Cliente 1091;SÃO PAULO;SP;3550308;2;-1;14
1.094;1;31;Cliente 1094;SÃO PAULO;;3550308;2;0;0
1.095;1;28;Cliente 1095;SÃO PAULO;SP;3550308;2;-1;14
1.096;1;30;Cliente 1096;SÃO PAULO;SP;3550308;2;-1;14
1.097;1;9;Cliente 1097;SÃO PAULO;SP;3550308;2;-1;14
1.098;1;9;Cliente 1098;SÃO PAULO;SP;3550308;2;0;0
1.099;1;27;Cliente 1099;SÃO PAULO;SP;3550308;2;0;14
1.100;1;28;Cliente 1100;SÃO PAULO;SP;3550308;2;0;14
1.102;1;9;Cliente 1102;SÃO PAULO;SP;3550308;2;0;0
1.103;1;11;Cliente 1103;SÃO PAULO;SP;3550308;2;0;0
1.106;1;9;Cliente 1106;SÃO PAULO;SP;3550308;2;-1;14
1.107;1;11;Cliente 1107;SÃO PAULO;SP;3550308;2;-1;14
1.108;1;9;Cliente 1108;SÃO PAULO;SP;3550308;2;-1;14
1.109;1;9;Cliente 1109;ITATIBA;SP;3523404;2;-1;14
1.111;1;9;Cliente 1111;SÃO PAULO;SP;3550308;2;0;14
1.112;1;9;Cliente 1112;SÃO PAULO;SP;3550308;2;0;7
1.113;1;9;Cliente 1113;SÃO PAULO;SP;3550308;2;-1;14
1.114;1;9;Cliente 1114;SÃO PAULO;SP;3550308;2;-1;14
1.115;1;28;Cliente 1115;SÃO PAULO;SP;3550308;2;-1;14
1.116;1;11;Cliente 1116;SÃO PAULO;SP;3550308;2;-1;14
1.117;1;28;Cliente 1117;SAO PAULO;SP;3550308;2;-1;14
1.118;1;11;Cliente 1118;SÃO PAULO;SP;3550308;2;-1;14
1.119;1;9;Cliente 1119;SÃO PAULO;SP;3550308;2;0;14
1.120;1;11;Cliente 1120;SÃO PAULO;SP;3550308;2;-1;14
1.122;1;9;Cliente 1122;SÃO PAULO;SP;3550308;2;0;14
1.123;1;28;Cliente 1123;SÃO PAULO;SP;3550308;2;-1;14
1.125;1;27;Cliente 1125;SÃO PAULO;SP;3550308;2;-1;14
1.126;1;28;Cliente 1126;SÃO PAULO;SP;3550308;2;0;0
1.128;1;9;Cliente 1128;SÃO PAULO;SP;3550308;2;-1;14
1.129;1;9;Cliente 1129;SÃO PAULO;SP;3550308;2;-1;7
1.131;1;28;Cliente 1131;SÃO PAULO;SP;3550308;2;0;14
1.132;1;9;Cliente 1132;SÃO PAULO;SP;3550308;2;0;14
1.133;1;9;Cliente 1133;SÃO PAULO;SP;3550308;2;-1;14
1.135;1;11;Cliente 1135;SÃO PAULO;SP;3550308;2;-1;14
1.136;1;9;Cliente 1136;SÃO PAULO;SP;3550308;2;-1;14
1.137;1;11;Cliente 1137;SÃO PAULO;SP;3550308;2;-1;14
1.138;1;28;Cliente 1138;SÃO PAULO;SP;3550308;2;-1;14
1.139;1;33;Cliente 1139;SÃO PAULO;SP;3550308;2;-1;14
1.140;1;29;Cliente 1140;SÃO PAULO;SP;3550308;2;-1;14
1.143;1;9;Cliente 1143;SÃO PAULO;SP;3550308;2;0;0
1.144;1;9;Cliente 1144;SÃO PAULO;SP;3550308;1;0;0
1.145;1;9;Cliente 1145;SÃO PAULO;SP;3550308;2;-1;21
1.146;1;27;Cliente 1146;SÃO PAULO;SP;3550308;2;-1;14
1.147;1;3;Cliente 1147;UBATUBA;SP;3555406;2;-1;14
1.148;1;9;Cliente 1148;SÃO PAULO;SP;3550308;2;0;14
1.149;1;9;Cliente 1149;SÃO PAULO;SP;3550308;2;-1;14
1.150;1;28;Cliente 1150;SÃO PAULO;SP;3550308;2;-1;14
1.151;1;27;Cliente 1151;ITAPECIRICA DA SERRA;SP;3522208;2;-1;7
1.152;1;9;Cliente 1152;SÃO PAULO;SP;3550308;2;-1;14
1.155;1;28;Cliente 1155;SÃO PAULO;SP;3550308;2;-1;16
1.156;1;27;Cliente 1156;SÃO PAULO;SP;3550308;2;-1;14
1.157;1;9;Cliente 1157;SÃO PAULO;SP;3550308;2;-1;14
1.158;1;31;Cliente 1158;UBATUBA;SP;3555406;2;-1;14
1.159;1;27;Cliente 1159;SAO PAULO;SP;3550308;2;-1;14
1.160;1;3;Cliente 1160;UBATUBA;SP;3555406;2;0;7
1.161;1;28;Cliente 1161;SÃO PAULO;SP;3550308;2;-1;14
1.163;1;9;Cliente 1163;SÃO PAULO;SP;3550308;2;0;0
1.164;1;28;Cliente 1164;SÃO PAULO;SP;3550308;2;-1;28
1.165;1;30;Cliente 1165;SÃO PAULO;SP;3550308;2;-1;7
1.166;1;9;Cliente 1166;SÃO PAULO;SP;3550308;2;-1;14
1.167;1;9;Cliente 1167;SÃO PAULO;SP;3550308;2;-1;14
1.168;1;27;Cliente 1168;SAO PAULO;SP;3550308;2;-1;7
1.169;1;27;Cliente 1169;SÃO PAULO;SP;3550308;2;-1;14
1.170;1;9;Cliente 1170;SÃO PAULO;SP;3550308;2;-1;14
1.171;1;31;Cliente 1171;UBATUBA;SP;3555406;2;-1;21
1.172;1;11;Cliente 1172;SÃO PAULO;SP;3550308;2;-1;14
1.173;1;9;Cliente 1173;SÃO PAULO;SP;3550308;2;-1;14
1.175;1;9;Cliente 1175;SÃO PAULO;SP;3550308;2;-1;14
1.176;1;9;Cliente 1176;SAO PAULO;SP;3550308;2;0;7
1.178;1;9;Cliente 1178;SÃO PAULO;SP;3550308;2;-1;7
1.179;1;9;Cliente 1179;SÃO PAULO;SP;3550308;2;-1;14
1.180;1;29;Cliente 1180;SÃO PAULO;SP;3550308;2;-1;21
1.181;1;31;Cliente 1181;UBATUBA;SP;3555406;2;-1;14
1.182;1;4;Cliente 1182;UBATUBA;SP;3555406;2;-1;14
1.183;1;9;Cliente 1183;SÃO PAULO;SP;3550308;2;0;7
1.184;1;9;Cliente 1184;SÃO PAULO;SP;3550308;2;0;0
1.185;1;9;Cliente 1185;SÃO PAULO;SP;3550308;2;-1;14
1.186;1;9;Cliente 1186;SÃO PAULO;SP;3550308;2;-1;14
1.187;1;9;Cliente 1187;SÃO PAULO;SP;3550308;2;-1;14
1.188;1;9;Cliente 1188;SÃO PAULO;SP;3550308;2;-1;14
1.190;1;9;Cliente 1190;SÃO PAULO;SP;3550308;2;0;14
1.191;1;27;Cliente 1191;SÃO PAULO;SP;3550308;2;-1;7
1.192;1;9;Cliente 1192;SÃO PAULO;SP;3550308;2;-1;28
1.194;1;9;Cliente 1194;SÃO PAULO;SP;3550308;2;-1;14
1.195;1;9;Cliente 1195;SÃO PAULO;SP;3550308;2;-1;28
1.196;1;3;Cliente 1196;UBATUBA;SP;3555406;2;-1;15
1.199;1;9;Cliente 1199;SÃO PAULO;SP;3550308;2;-1;14
1.203;1;9;Cliente 1203;SÃO PAULO;SP;3550308;2;-1;14
1.207;1;9;Cliente 1207;VALINHOS;SP;3556206;2;0;14
1.208;1;3;Cliente 1208;UBATUBA;SP;3555406;2;-1;14
1.209;1;9;Cliente 1209;SÃO PAULO;SP;3550308;2;0;14
1.210;1;4;Cliente 1210;UBATUBA;SP;3555406;2;0;14
1.211;1;4;Cliente 1211;UBATUBA;SP;3555406;2;-1;14
1.213;1;11;Cliente 1213;SÃO PAULO;SP;3550308;2;-1;14
1.214;1;28;Cliente 1214;SÃO PAULO;SP;3550308;2;-1;14
1.215;1;27;Cliente 1215;SÃO PAULO;SP;3550308;2;-1;14
1.216;1;9;Cliente 1216;SÃO PAULO;SP;3550308;2;-1;14
1.217;1;6;Cliente 1217;SÃO PAULO;SP;3550308;2;0;0
1.218;1;9;Cliente 1218;SÃO PAULO;SP;3550308;2;0;14
1.219;1;27;Cliente 1219;SÃO PAULO;SP;3550308;2;-1;14
1.220;1;9;Cliente 1220;SÃO PAULO;SP;3550308;2;-1;14
1.221;1;28;Cliente 1221;SÃO PAULO;SP;3550308;2;-1;14
1.222;1;11;Cliente 1222;SÃO PAULO;SP;3550308;2;-1;14
1.223;1;9;Cliente 1223;SÃO PAULO;SP;3550308;2;-1;14
1.226;1;11;Cliente 1226;SÃO PAULO;SP;3550308;2;-1;7
1.227;1;9;Cliente 1227;SÃO PAULO;SP;3550308;2;-1;14
1.228;1;11;Cliente 1228;SÃO PAULO;SP;3550308;2;-1;14
1.229;1;9;Cliente 1229;SAO PAULO;SP;3550308;2;0;
1.230;1;9;Cliente 1230;SÃO PAULO;SP;3550308;2;-1;28
1.231;1;4;Cliente 1231;UBATUBA;SP;3555406;2;0;14
1.232;1;4;Cliente 1232;UBATUBA;SP;3555406;2;-1;14
1.233;1;9;Cliente 1233;SÃO PAULO;SP;3550308;2;-1;7
1.234;1;9;Cliente 1234;SÃO PAULO;SP;3550308;2;0;14
1.235;1;9;Cliente 1235;SÃO PAULO;SP;3550308;2;-1;7
1.237;1;9;Cliente 1237;SÃO PAULO;SP;3550308;2;-1;45
1.238;1;9;Cliente 1238;SÃO PAULO;SP;3550308;2;-1;21
1.239;1;29;Cliente 1239;SÃO PAULO;SP;3550308;2;-1;21
1.240;1;27;Cliente 1240;SÃO PAULO;SP;3550308;2;-1;14
1.241;1;27;Cliente 1241;SÃO PAULO;SP;3550308;2;-1;14
1.242;1;9;Cliente 1242;SÃO PAULO;SP;3550308;2;-1;14
1.243;1;9;Cliente 1243;SÃO PAULO;SP;3550308;2;-1;14
1.244;1;3;Cliente 1244;UBATUBA;SP;3555406;1;0;14
1.245;1;4;Cliente 1245;UBATUBA;SP;3555406;2;-1;14
1.246;1;9;Cliente 1246;SÃO PAULO;SP;3550308;2;-1;14
1.247;1;9;Cliente 1247;SÃO PAULO;SP;3550308;2;-1;14
1.248;1;30;Cliente 1248;SÃO PAULO;SP;3550308;2;-1;14
1.249;1;9;Cliente 1249;SÃO PAULO;SP;3550308;2;-1;14
1.250;1;29;Cliente 1250;SÃO PAULO;SP;3550308;2;-1;14
1.251;1;9;Cliente 1251;SÃO PAULO;SP;3550308;2;-1;14
1.253;1;11;Cliente 1253;SÃO PAULO;SP;3550308;2;0;0
1.254;1;9;Cliente 1254;SÃO PAULO;SP;3550308;2;-1;14
1.255;1;9;Cliente 1255;SÃO PAULO;SP;3550308;2;0;14
1.256;1;3;Cliente 1256;UBATUBA;SP;3555406;2;-1;14
1.257;1;31;Cliente 1257;UBATUBA;SP;3555406;2;-1;14
1.258;1;9;Cliente 1258;SÃO PAULO;SP;3550308;2;0;14
1.261;1;9;Cliente 1261;SÃO PAULO;SP;3550308;2;-1;28
1.262;1;4;Cliente 1262;UBATUBA;SP;3555406;2;-1;14
1.263;1;9;Cliente 1263;SÃO PAULO;SP;3550308;2;-1;19
1.264;1;28;Cliente 1264;SÃO PAULO;SP;3550308;2;-1;10
1.266;1;28;Cliente 1266;SÃO PAULO;SP;3550308;2;-1;14
1.267;1;27;Cliente 1267;SÃO PAULO;SP;3550308;2;-1;14
1.268;1;27;Cliente 1268;SÃO PAULO;SP;3550308;2;-1;14
1.269;1;28;Cliente 1269;SÃO PAULO;SP;3550308;2;-1;14
1.270;1;9;Cliente 1270;SÃO PAULO;SP;3550308;2;0;10
1.271;1;27;Cliente 1271;SÃO PAULO;SP;3550308;2;-1;14
1.272;1;28;Cliente 1272;SÃO PAULO;SP;3550308;2;0;0
1.273;1;9;Cliente 1273;SÃO PAULO;SP;3550308;2;-1;14
1.274;1;9;Cliente 1274;SÃO PAULO;SP;3550308;2;-1;14
1.275;1;27;Cliente 1275;SÃO PAULO;SP;3550308;2;-1;14
1.276;1;9;Cliente 1276;SÃO PAULO;SP;3550308;2;-1;14
1.278;1;9;Cliente 1278;SÃO PAULO;SP;3550308;2;-1;14
1.279;1;9;Cliente 1279;SÃO PAULO;SP;3550308;2;0;14
1.280;1;9;Cliente 1280;SÃO PAULO;SP;3550308;2;0;14
1.281;1;9;Cliente 1281;SÃO PAULO;SP;3550308;2;-1;14
1.284;1;27;Cliente 1284;SÃO PAULO;SP;3550308;2;-1;14
1.285;1;9;Cliente 1285;SAO PAULO;SP;3550308;2;-1;14
1.286;1;27;Cliente 1286;SÃO PAULO;SP;3550308;2;0;7
1.288;1;30;Cliente 1288;SÃO PAULO;SP;3550308;2;-1;14
1.289;1;28;Cliente 1289;SÃO PAULO;SP;3550308;2;0;0
1.290;1;9;Cliente 1290;SÃO PAULO;SP;3550308;2;-1;14
1.291;1;9;Cliente 1291;SÃO PAULO;SP;3550308;2;-1;21
1.292;1;27;Cliente 1292;SÃO PAULO;SP;3550308;2;-1;14
1.293;1;9;Cliente 1293;SÃO PAULO;SP;3550308;2;0;0
1.294;1;9;Cliente 1294;SÃO PAULO;SP;3550308;2;-1;14
1.297;1;9;Cliente 1297;SÃO PAULO;SP;3550308;2;0;
1.298;1;9;Cliente 1298;SÃO PAULO;SP;3550308;2;0;0
1.299;1;9;Cliente 1299;SÃO PAULO;SP;3550308;2;-1;14
1.300;1;27;Cliente 1300;SÃO PAULO;SP;3550308;2;-1;14
1.301;1;27;Cliente 1301;SÃO PAULO;SP;3550308;2;-1;14
1.303;1;9;Cliente 1303;SÃO PAULO;SP;3550308;2;-1;14
1.304;1;9;Cliente 1304;SÃO PAULO;SP;3550308;2;-1;14
1.305;1;9;Cliente 1305;SÃO PAULO;SP;3550308;2;-1;14
1.307;1;30;Cliente 1307;SÃO PAULO;SP;3550308;2;-1;7
1.308;1;9;Cliente 1308;SÃO PAULO;SP;3550308;2;-1;21
1.309;1;9;Cliente 1309;SÃO PAULO;SP;3550308;2;0;0
1.310;1;27;Cliente 1310;SÃO PAULO;SP;3550308;2;-1;7
1.311;1;27;Cliente 1311;SÃO PAULO;SP;3550308;2;-1;10
1.312;1;32;Cliente 1312;SÃO PAULO;SP;3550308;2;-1;14
1.313;1;9;Cliente 1313;SÃO PAULO;SP;3550308;2;0;0
1.314;1;27;Cliente 1314;SÃO PAULO;SP;3550308;2;-1;10
1.315;1;9;Cliente 1315;SÃO PAULO;SP;3550308;2;-1;14
1.316;1;9;Cliente 1316;DIADEMA;SP;3513801;2;-1;14
1.317;1;9;Cliente 1317;SÃO PAULO;SP;3550308;2;-1;14
1.319;1;27;Cliente 1319;SÃO PAULO;SP;3550308;2;-1;14
1.320;1;9;Cliente 1320;SÃO PAULO;SP;3550308;2;-1;28
1.321;1;9;Cliente 1321;SÃO PAULO;SP;3550308;2;-1;14
1.322;1;9;Cliente 1322;SÃO PAULO;SP;3550308;2;-1;14
1.323;1;27;Cliente 1323;SÃO PAULO;SP;3550308;2;-1;14
1.324;1;9;Cliente 1324;SÃO PAULO;SP;3550308;2;-1;14
1.325;1;11;Cliente 1325;SÃO PAULO;SP;3550308;2;-1;14
1.326;1;28;Cliente 1326;SÃO PAULO;SP;3550308;2;-1;14
1.327;1;4;Cliente 1327;UBATUBA;SP;3555406;2;-1;14
1.328;1;9;Cliente 1328;SÃO PAULO;SP;3550308;2;-1;14
1.329;1;28;Cliente 1329;SÃO PAULO;SP;3550308;2;-1;14
1.330;1;27;Cliente 1330;SÃO PAULO;SP;3550308;2;-1;14
1.331;1;11;Cliente 1331;SÃO PAULO;SP;3550308;2;-1;14
1.332;1;9;Cliente 1332;SÃO PAULO;SP;3550308;2;-1;21
1.334;1;28;Cliente 1334;SÃO PAULO;SP;3550308;2;0;0
1.336;1;9;Cliente 1336;SÃO PAULO;SP;3550308;2;-1;14
1.337;1;30;Cliente 1337;SÃO PAULO;SP;3550308;2;-1;21
1.338;1;27;Cliente 1338;SÃO PAULO;SP;3550308;2;-1;14
1.339;1;32;Cliente 1339;SÃO PAULO;SP;3550308;2;-1;7
1.341;1;9;Cliente 1341;SÃO PAULO;SP;3550308;2;-1;28
1.344;1;30;Cliente 1344;SÃO PAULO;SP;3550308;2;-1;14
1.346;1;9;Cliente 1346;SÃO PAULO;SP;3550308;2;-1;21
1.347;1;29;Cliente 1347;SÃO PAULO;SP;3550308;2;-1;14
1.348;1;9;Cliente 1348;SÃO PAULO;SP;3550308;2;-1;14
1.349;1;4;Cliente 1349;UBATUBA;SP;3555406;2;-1;14
1.350;1;28;Cliente 1350;SÃO PAULO;SP;3550308;2;0;0
1.351;1;27;Cliente 1351;SÃO PAULO;SP;3550308;2;-1;14
1.352;1;6;Cliente 1352;SÃO PAULO;SP;3550308;2;0;0
1.353;1;9;Cliente 1353;SÃO PAULO;SP;3550308;2;-1;14
1.354;1;27;Cliente 1354;SÃO PAULO;SP;3550308;2;-1;7
1.356;1;27;Cliente 1356;SÃO PAULO;SP;3550308;2;-1;14
1.357;1;9;Cliente 1357;SÃO PAULO;SP;3550308;2;0;14
1.358;1;9;Cliente 1358;SÃO PAULO;SP;3550308;2;-1;7
1.359;1;9;Cliente 1359;SAO PAULO;SP;3550308;2;0;0
1.360;1;27;Cliente 1360;SÃO PAULO;SP;3550308;2;-1;10
1.361;1;27;Cliente 1361;SÃO PAULO;SP;3550308;2;-1;7
1.362;1;27;Cliente 1362;SÃO PAULO;SP;3550308;2;-1;14
1.363;1;11;Cliente 1363;SÃO PAULO;SP;3550308;2;-1;14
1.365;1;9;Cliente 1365;SÃO PAULO;SP;3550308;2;0;0
1.366;1;31;Cliente 1366;UBATUBA;SP;3555406;2;-1;14
1.367;1;9;Cliente 1367;SÃO PAULO;SP;3550308;2;-1;14
1.368;1;30;Cliente 1368;SÃO PAULO;SP;3550308;2;-1;7
1.369;1;4;Cliente 1369;UBATUBA;SP;3555406;2;-1;14
1.371;1;9;Cliente 1371;SÃO PAULO;SP;3550308;2;-1;10
1.372;1;9;Cliente 1372;SÃO PAULO;SP;3550308;2;-1;14
1.373;1;27;Cliente 1373;SÃO PAULO;SP;3550308;2;-1;7
1.374;1;9;Cliente 1374;SÃO PAULO;SP;3550308;2;-1;14
1.375;1;11;Cliente 1375;SÃO PAULO;SP;3550308;2;-1;14
1.376;1;6;Cliente 1376;SÃO PAULO;SP;3550308;2;0;14
1.377;1;9;Cliente 1377;SÃO PAULO;SP;3550308;2;-1;14
1.378;1;9;Cliente 1378;SÃO PAULO;SP;3550308;2;-1;14
1.379;1;9;Cliente 1379;SÃO PAULO;SP;3550308;2;-1;14
1.380;1;33;Cliente 1380;SÃO PAULO;SP;3550308;2;-1;14
1.381;1;9;Cliente 1381;SÃO PAULO;SP;3550308;2;-1;14
1.382;1;9;Cliente 1382;SÃO PAULO;SP;3550308;2;-1;10
1.385;1;9;Cliente 1385;SÃO PAULO;SP;3550308;2;-1;28
1.386;1;28;Cliente 1386;SÃO PAULO;SP;3550308;2;-1;7
1.387;1;27;Cliente 1387;SÃO PAULO;SP;3550308;2;-1;14
1.388;1;33;Cliente 1388;SÃO PAULO;SP;3550308;2;0;7
1.389;1;9;Cliente 1389;SÃO PAULO;SP;3550308;2;-1;0
1.390;1;31;Cliente 1390;UBATUBA;SP;3555406;2;0;14
1.392;1;28;Cliente 1392;SÃO PAULO;SP;3550308;2;-1;14
1.393;1;28;Cliente 1393;SÃO PAULO;SP;3550308;2;-1;14
1.394;1;11;Cliente 1394;SÃO PAULO;SP;3550308;2;-1;14
1.395;1;28;Cliente 1395;SÃO PAULO;SP;3550308;2;-1;14
1.396;1;27;Cliente 1396;SÃO PAULO;SP;3550308;2;-1;14
1.397;1;9;Cliente 1397;SÃO PAULO;SP;3550308;2;0;0
1.398;1;30;Cliente 1398;SÃO PAULO;SP;3550308;2;-1;14
1.399;1;9;Cliente 1399;SÃO PAULO;SP;3550308;2;0;0
1.400;1;9;Cliente 1400;SÃO PAULO;SP;3550308;2;-1;14
1.401;1;9;Cliente 1401;SÃO PAULO;SP;3550308;2;-1;14
1.402;1;9;Cliente 1402;SÃO PAULO;SP;3550308;2;-1;14
1.403;1;9;Cliente 1403;SÃO PAULO;SP;3550308;2;-1;14
1.404;1;29;Cliente 1404;SÃO PAULO;SP;3550308;2;-1;21
1.405;1;29;Cliente 1405;SÃO PAULO;SP;3550308;2;-1;10
1.407;1;27;Cliente 1407;SÃO PAULO;SP;3550308;2;-1;21
1.410;1;27;Cliente 1410;SÃO PAULO;SP;3550308;2;-1;14
1.411;1;28;Cliente 1411;SÃO PAULO;SP;3550308;2;-1;14
1.412;1;9;Cliente 1412;SÃO PAULO;SP;3550308;2;-1;14
1.414;1;28;Cliente 1414;SÃO PAULO;SP;3550308;2;-1;14
1.415;1;9;Cliente 1415;SÃO PAULO;SP;3550308;2;-1;14
1.416;1;27;Cliente 1416;SÃO PAULO;SP;3550308;2;-1;21
1.417;1;9;Cliente 1417;SÃO PAULO;SP;3550308;2;-1;14
1.418;1;9;Cliente 1418;SÃO PAULO;SP;3550308;2;-1;14
1.419;1;30;Cliente 1419;SÃO PAULO;SP;3550308;2;-1;7
1.420;1;27;Cliente 1420;SÃO PAULO;SP;3550308;2;-1;14
